record_ID,units_sold
212956,31.0
212959,20.0
212960,30.0
212964,91.0
212965,27.0
212966,142.0
212967,25.0
212968,17.0
212969,37.0
212970,47.0
212971,33.0
212973,31.0
212974,37.0
212977,49.0
212978,52.0
212979,28.0
212981,22.0
212982,37.0
212983,43.0
212984,37.0
212985,40.0
212986,37.0
212987,116.0
212988,34.0
212989,197.0
212990,31.0
212991,22.0
212993,52.0
212994,46.0
212995,42.0
212996,40.0
212997,50.0
212998,71.0
212999,9.0
213001,16.0
213002,16.0
213006,15.0
213007,23.0
213011,37.0
213012,13.0
213013,70.0
213016,16.0
213017,15.0
213020,24.0
213021,157.0
213022,107.0
213023,60.0
213025,49.0
213026,49.0
213027,86.0
213031,103.0
213032,53.0
213033,245.0
213034,28.0
213035,21.0
213036,71.0
213037,57.0
213038,67.0
213039,27.0
213040,37.0
213041,55.0
213043,22.0
213048,125.0
213049,94.0
213050,45.0
213053,66.0
213054,67.0
213055,109.0
213056,51.0
213059,74.0
213060,51.0
213061,235.0
213064,66.0
213065,32.0
213066,46.0
213068,55.0
213069,68.0
213070,20.0
213072,72.0
213073,64.0
213074,34.0
213076,17.0
213077,36.0
213078,57.0
213079,21.0
213080,24.0
213081,23.0
213082,105.0
213083,30.0
213084,191.0
213085,29.0
213086,25.0
213087,40.0
213088,54.0
213089,41.0
213090,41.0
213091,53.0
213092,63.0
213093,6.0
213094,13.0
213096,16.0
213097,29.0
213098,25.0
213100,12.0
213101,20.0
213102,26.0
213103,22.0
213105,24.0
213106,65.0
213107,21.0
213108,84.0
213109,27.0
213110,32.0
213111,24.0
213113,45.0
213114,46.0
213115,6.0
213123,22.0
213127,69.0
213128,49.0
213129,29.0
213131,29.0
213132,37.0
213133,50.0
213135,62.0
213136,25.0
213137,129.0
213138,18.0
213140,39.0
213141,21.0
213142,41.0
213145,42.0
213147,10.0
213148,76.0
213149,39.0
213150,9.0
213151,20.0
213152,29.0
213153,11.0
213154,79.0
213155,29.0
213156,111.0
213157,22.0
213158,21.0
213159,35.0
213160,37.0
213161,36.0
213162,28.0
213163,31.0
213164,43.0
213167,12.0
213168,23.0
213169,208.0
213170,156.0
213171,83.0
213174,64.0
213175,74.0
213176,115.0
213179,28.0
213180,134.0
213181,59.0
213182,253.0
213183,40.0
213187,78.0
213188,41.0
213189,99.0
213191,40.0
213192,65.0
213194,18.0
213195,14.0
213197,9.0
213199,8.0
213200,20.0
213202,27.0
213204,65.0
213205,21.0
213206,88.0
213207,21.0
213208,58.0
213209,38.0
213215,106.0
213216,77.0
213217,48.0
213219,41.0
213220,46.0
213221,72.0
213225,71.0
213226,34.0
213227,225.0
213230,43.0
213231,27.0
213233,34.0
213235,54.0
213236,11.0
213238,117.0
213239,76.0
213240,38.0
213241,40.0
213242,39.0
213243,54.0
213245,80.0
213246,36.0
213247,221.0
213248,28.0
213249,18.0
213250,62.0
213251,41.0
213252,31.0
213254,38.0
213255,54.0
213256,7.0
213257,21.0
213260,9.0
213265,41.0
213268,13.0
213269,44.0
213270,48.0
213273,32.0
213275,41.0
213276,25.0
213278,7.0
213279,23.0
213280,50.0
213281,47.0
213282,17.0
213283,28.0
213285,114.0
213286,39.0
213287,170.0
213288,38.0
213289,20.0
213292,51.0
213293,38.0
213294,29.0
213296,56.0
213297,56.0
213301,30.0
213303,8.0
213304,15.0
213305,40.0
213306,32.0
213308,44.0
213309,36.0
213310,56.0
213311,25.0
213312,142.0
213314,11.0
213315,31.0
213316,24.0
213317,18.0
213320,165.0
213321,113.0
213322,32.0
213325,56.0
213326,62.0
213327,117.0
213330,35.0
213331,103.0
213332,40.0
213333,223.0
213334,15.0
213335,7.0
213336,62.0
213337,30.0
213338,26.0
213340,57.0
213341,59.0
213343,14.0
213346,229.0
213347,32.0
213348,10.0
213351,10.0
213352,35.0
213353,24.0
213354,17.0
213355,30.0
213356,26.0
213357,53.0
213358,22.0
213359,135.0
213360,15.0
213361,11.0
213363,44.0
213364,43.0
213365,39.0
213366,39.0
213367,48.0
213369,77.0
213370,65.0
213371,19.0
213372,16.0
213373,31.0
213374,41.0
213375,18.0
213376,22.0
213377,22.0
213378,85.0
213379,24.0
213380,154.0
213381,20.0
213382,16.0
213383,35.0
213384,45.0
213385,40.0
213387,36.0
213388,50.0
213390,13.0
213391,43.0
213392,35.0
213394,17.0
213395,38.0
213396,30.0
213399,73.0
213400,18.0
213401,98.0
213403,24.0
213404,18.0
213408,19.0
213409,8.0
213410,7.0
213411,14.0
213412,64.0
213413,55.0
213414,23.0
213415,17.0
213416,31.0
213417,37.0
213418,19.0
213419,16.0
213420,13.0
213421,77.0
213422,14.0
213423,139.0
213425,11.0
213426,30.0
213427,23.0
213428,21.0
213431,36.0
213432,8.0
213434,14.0
213435,72.0
213436,56.0
213437,29.0
213439,20.0
213440,32.0
213441,49.0
213444,36.0
213445,43.0
213446,23.0
213447,121.0
213448,39.0
213449,21.0
213454,68.0
213455,39.0
213456,26.0
213457,37.0
213458,34.0
213461,43.0
213462,27.0
213463,117.0
213466,34.0
213467,13.0
213471,16.0
213472,58.0
213473,46.0
213474,23.0
213476,33.0
213477,43.0
213478,54.0
213479,73.0
213480,40.0
213481,162.0
213484,39.0
213485,51.0
213486,25.0
213488,30.0
213489,33.0
213490,5.0
213491,18.0
213494,20.0
213495,18.0
213496,11.0
213497,21.0
213502,54.0
213503,24.0
213505,21.0
213506,36.0
213507,28.0
213510,44.0
213511,34.0
213512,9.0
213514,18.0
213516,64.0
213517,17.0
213518,100.0
213519,19.0
213520,11.0
213521,27.0
213522,28.0
213523,21.0
213526,27.0
213528,10.0
213530,41.0
213531,35.0
213532,24.0
213533,8.0
213535,18.0
213536,27.0
213537,35.0
213538,22.0
213540,25.0
213541,81.0
213542,26.0
213543,132.0
213545,9.0
213546,32.0
213547,42.0
213548,33.0
213550,37.0
213551,38.0
213554,18.0
213559,25.0
213560,25.0
213561,28.0
213562,35.0
213563,26.0
213564,65.0
213565,16.0
213566,92.0
213567,43.0
213568,27.0
213572,31.0
213573,25.0
213574,22.0
213575,8.0
213576,8.0
213577,23.0
213578,21.0
213579,23.0
213580,19.0
213581,73.0
213582,21.0
213583,107.0
213584,16.0
213587,40.0
213588,39.0
213591,44.0
213593,53.0
213594,47.0
213597,18.0
213598,25.0
213599,41.0
213600,18.0
213601,20.0
213602,22.0
213603,77.0
213604,29.0
213605,137.0
213606,29.0
213607,19.0
213608,42.0
213609,29.0
213610,30.0
213612,33.0
213613,43.0
213614,18.0
213615,158.0
213616,121.0
213617,40.0
213619,59.0
213620,70.0
213621,88.0
213624,31.0
213625,93.0
213626,56.0
213627,234.0
213630,68.0
213631,47.0
213635,59.0
213639,36.0
213640,32.0
213641,11.0
213643,16.0
213644,26.0
213645,31.0
213648,69.0
213649,20.0
213650,124.0
213651,34.0
213652,22.0
213653,38.0
213654,26.0
213658,32.0
213660,15.0
213661,16.0
213663,11.0
213664,22.0
213665,41.0
213666,32.0
213669,85.0
213670,28.0
213671,130.0
213673,35.0
213674,39.0
213675,41.0
213678,53.0
213681,45.0
213682,37.0
213683,21.0
213685,24.0
213686,45.0
213687,53.0
213688,46.0
213689,45.0
213690,35.0
213691,83.0
213692,34.0
213693,175.0
213694,23.0
213696,40.0
213697,27.0
213698,23.0
213699,46.0
213700,51.0
213701,53.0
213703,69.0
213704,49.0
213707,26.0
213708,32.0
213709,47.0
213711,50.0
213712,25.0
213713,147.0
213716,45.0
213720,42.0
213723,112.0
213724,73.0
213725,24.0
213727,43.0
213728,46.0
213729,61.0
213733,70.0
213734,43.0
213735,183.0
213736,60.0
213737,31.0
213738,30.0
213741,46.0
213743,210.0
213744,131.0
213745,70.0
213748,59.0
213749,59.0
213750,124.0
213752,126.0
213753,60.0
213754,311.0
213755,46.0
213756,28.0
213758,89.0
213759,63.0
213760,41.0
213761,46.0
213762,52.0
213763,86.0
213764,8.0
213765,30.0
213768,224.0
213769,163.0
213770,61.0
213771,16.0
213773,75.0
213774,72.0
213775,133.0
213779,115.0
213780,60.0
213781,286.0
213782,22.0
213783,16.0
213785,79.0
213786,44.0
213787,93.0
213788,39.0
213789,54.0
213790,77.0
213792,19.0
213796,20.0
213797,18.0
213798,9.0
213799,8.0
213800,12.0
213801,25.0
213802,28.0
213805,72.0
213806,26.0
213807,106.0
213808,9.0
213809,28.0
213811,35.0
213814,37.0
213816,17.0
213817,21.0
213819,10.0
213820,18.0
213821,22.0
213824,51.0
213825,21.0
213826,83.0
213829,20.0
213830,39.0
213831,35.0
213833,24.0
213834,27.0
213835,16.0
213838,11.0
213840,22.0
213842,29.0
213844,11.0
213848,112.0
213849,65.0
213850,38.0
213851,42.0
213852,41.0
213853,53.0
213857,67.0
213858,40.0
213859,202.0
213860,22.0
213861,11.0
213862,54.0
213863,29.0
213865,34.0
213866,41.0
213867,55.0
213870,74.0
213871,35.0
213874,33.0
213875,36.0
213878,59.0
213879,26.0
213880,117.0
213883,34.0
213884,16.0
213885,11.0
213888,34.0
213891,139.0
213892,81.0
213893,36.0
213895,44.0
213896,51.0
213897,78.0
213900,93.0
213901,44.0
213902,207.0
213903,27.0
213905,49.0
213906,29.0
213907,58.0
213909,34.0
213910,53.0
213912,24.0
213913,16.0
213918,24.0
213919,18.0
213922,15.0
213923,78.0
213924,21.0
213925,111.0
213926,11.0
213928,16.0
213930,35.0
213932,29.0
213935,34.0
213936,28.0
213939,12.0
213940,28.0
213942,85.0
213943,21.0
213944,118.0
213945,29.0
213946,15.0
213947,40.0
213948,33.0
213949,31.0
213951,21.0
213952,30.0
213954,18.0
213955,23.0
213956,16.0
213960,15.0
213961,37.0
213962,32.0
213963,26.0
213964,26.0
213965,20.0
213966,70.0
213967,33.0
213968,137.0
213971,29.0
213972,26.0
213973,20.0
213976,154.0
213977,89.0
213978,51.0
213979,30.0
213980,16.0
213981,78.0
213982,98.0
213983,133.0
213985,27.0
213986,20.0
213987,173.0
213988,86.0
213989,343.0
213990,39.0
213991,17.0
213994,96.0
213995,53.0
213996,93.0
213998,67.0
213999,83.0
214000,7.0
214001,31.0
214002,21.0
214004,66.0
214005,40.0
214006,22.0
214008,43.0
214009,46.0
214010,59.0
214011,29.0
214014,51.0
214015,48.0
214016,176.0
214017,62.0
214018,25.0
214019,61.0
214021,67.0
214022,55.0
214023,91.0
214024,64.0
214025,25.0
214026,35.0
214027,39.0
214028,56.0
214032,60.0
214033,55.0
214034,200.0
214035,71.0
214036,42.0
214040,48.0
214041,5.0
214043,229.0
214044,146.0
214045,90.0
214048,92.0
214049,97.0
214050,142.0
214051,19.0
214054,164.0
214055,83.0
214056,467.0
214057,38.0
214061,116.0
214062,105.0
214063,152.0
214065,66.0
214066,96.0
214067,33.0
214070,76.0
214071,63.0
214072,23.0
214073,21.0
214074,33.0
214075,57.0
214076,24.0
214077,24.0
214078,32.0
214079,149.0
214080,40.0
214081,218.0
214082,41.0
214083,23.0
214084,53.0
214085,78.0
214086,83.0
214088,37.0
214089,67.0
214090,6.0
214092,22.0
214096,26.0
214097,25.0
214098,16.0
214099,16.0
214100,79.0
214101,34.0
214102,117.0
214103,7.0
214104,33.0
214105,69.0
214106,46.0
214109,44.0
214111,45.0
214112,53.0
214114,17.0
214115,31.0
214116,25.0
214118,35.0
214120,53.0
214121,22.0
214122,129.0
214124,23.0
214125,16.0
214126,15.0
214129,55.0
214130,52.0
214131,10.0
214133,22.0
214134,40.0
214135,58.0
214136,19.0
214137,26.0
214138,35.0
214139,92.0
214140,27.0
214141,161.0
214142,21.0
214143,13.0
214144,42.0
214145,32.0
214146,30.0
214148,33.0
214149,47.0
214151,152.0
214152,84.0
214153,27.0
214154,55.0
214155,59.0
214156,101.0
214158,36.0
214159,83.0
214160,37.0
214161,228.0
214162,19.0
214163,13.0
214164,66.0
214165,35.0
214168,42.0
214169,55.0
214175,64.0
214176,46.0
214177,16.0
214178,43.0
214179,30.0
214180,83.0
214184,82.0
214185,39.0
214186,217.0
214187,60.0
214188,28.0
214191,45.0
214192,9.0
214193,41.0
214194,27.0
214195,13.0
214196,38.0
214197,50.0
214198,41.0
214202,99.0
214203,50.0
214204,173.0
214205,42.0
214206,97.0
214207,61.0
214209,60.0
214210,68.0
214213,27.0
214215,12.0
214216,24.0
214217,37.0
214218,10.0
214221,91.0
214222,20.0
214223,143.0
214224,19.0
214225,15.0
214226,38.0
214227,46.0
214228,37.0
214229,26.0
214230,32.0
214231,40.0
214233,11.0
214235,104.0
214236,89.0
214237,53.0
214240,57.0
214241,63.0
214242,83.0
214245,104.0
214246,47.0
214247,272.0
214248,19.0
214249,12.0
214251,75.0
214252,39.0
214253,74.0
214255,45.0
214256,66.0
214258,12.0
214261,9.0
214262,47.0
214263,23.0
214265,28.0
214266,27.0
214267,35.0
214271,96.0
214272,27.0
214273,181.0
214274,25.0
214275,14.0
214276,41.0
214277,45.0
214278,34.0
214281,47.0
214282,18.0
214283,12.0
214284,16.0
214285,22.0
214286,27.0
214287,30.0
214288,26.0
214292,24.0
214293,39.0
214296,12.0
214297,94.0
214300,170.0
214301,101.0
214302,56.0
214305,85.0
214306,98.0
214307,120.0
214310,24.0
214311,112.0
214312,67.0
214313,80.0
214314,30.0
214315,12.0
214316,83.0
214317,43.0
214318,307.0
214320,15.0
214321,23.0
214322,19.0
214325,92.0
214326,89.0
214327,22.0
214328,11.0
214330,27.0
214331,69.0
214332,43.0
214333,37.0
214334,40.0
214335,26.0
214336,79.0
214337,38.0
214338,46.0
214339,29.0
214340,19.0
214341,47.0
214342,41.0
214343,204.0
214344,16.0
214345,23.0
214346,27.0
214348,10.0
214349,9.0
214350,36.0
214351,38.0
214352,37.0
214355,35.0
214356,38.0
214357,24.0
214358,23.0
214360,105.0
214361,30.0
214362,34.0
214363,15.0
214364,9.0
214366,33.0
214367,49.0
214368,150.0
214370,22.0
214371,30.0
214373,9.0
214374,4.0
214375,11.0
214376,276.0
214377,215.0
214378,74.0
214379,23.0
214381,117.0
214382,141.0
214383,222.0
214387,221.0
214388,105.0
214389,172.0
214390,51.0
214391,27.0
214393,132.0
214394,89.0
214395,270.0
214396,14.0
214397,30.0
214398,57.0
214399,15.0
214400,54.0
214402,16.0
214403,69.0
214404,84.0
214406,58.0
214407,65.0
214408,73.0
214411,39.0
214412,64.0
214413,33.0
214414,56.0
214415,13.0
214416,9.0
214417,49.0
214418,24.0
214421,15.0
214422,22.0
214425,210.0
214426,127.0
214427,71.0
214428,17.0
214430,106.0
214431,110.0
214432,109.0
214434,136.0
214435,163.0
214436,123.0
214437,33.0
214438,18.0
214440,110.0
214441,76.0
214443,16.0
214444,23.0
214445,31.0
214447,27.0
214450,33.0
214454,18.0
214455,35.0
214456,37.0
214457,21.0
214458,30.0
214459,27.0
214460,75.0
214461,27.0
214462,33.0
214463,22.0
214464,13.0
214466,40.0
214467,45.0
214468,134.0
214469,19.0
214470,23.0
214471,24.0
214472,38.0
214473,27.0
214475,10.0
214476,30.0
214477,28.0
214478,28.0
214481,59.0
214482,18.0
214483,47.0
214484,16.0
214487,32.0
214488,139.0
214491,15.0
214494,34.0
214495,26.0
214498,21.0
214499,49.0
214500,60.0
214501,14.0
214504,130.0
214505,46.0
214506,70.0
214507,34.0
214508,25.0
214510,49.0
214511,57.0
214512,137.0
214513,17.0
214514,22.0
214515,27.0
214517,21.0
214518,19.0
214519,33.0
214522,17.0
214523,39.0
214524,24.0
214526,25.0
214527,41.0
214528,18.0
214529,14.0
214530,19.0
214531,20.0
214534,15.0
214539,8.0
214540,16.0
214541,33.0
214542,21.0
214543,16.0
214545,36.0
214546,13.0
214547,15.0
214550,16.0
214551,12.0
214554,10.0
214555,91.0
214556,72.0
214557,37.0
214559,65.0
214560,74.0
214561,76.0
214564,81.0
214565,48.0
214566,55.0
214567,19.0
214569,64.0
214570,27.0
214571,180.0
214572,13.0
214573,23.0
214574,26.0
214575,9.0
214577,72.0
214578,55.0
214579,14.0
214581,38.0
214582,42.0
214583,38.0
214587,55.0
214588,53.0
214589,46.0
214590,43.0
214591,32.0
214592,240.0
214593,10.0
214595,18.0
214596,37.0
214597,36.0
214600,28.0
214601,30.0
214605,88.0
214606,32.0
214607,46.0
214608,23.0
214609,16.0
214610,34.0
214611,43.0
214612,121.0
214614,15.0
214615,20.0
214618,61.0
214619,61.0
214620,25.0
214622,26.0
214623,53.0
214624,43.0
214625,38.0
214626,44.0
214627,39.0
214628,92.0
214629,37.0
214630,54.0
214631,29.0
214632,21.0
214634,52.0
214635,46.0
214636,302.0
214637,21.0
214638,22.0
214639,38.0
214640,9.0
214642,20.0
214643,19.0
214646,23.0
214647,23.0
214651,38.0
214652,13.0
214653,13.0
214656,16.0
214657,76.0
214660,13.0
214661,155.0
214662,105.0
214663,64.0
214665,60.0
214666,68.0
214667,86.0
214671,92.0
214672,55.0
214673,59.0
214674,28.0
214675,19.0
214676,72.0
214677,78.0
214678,271.0
214679,9.0
214680,16.0
214681,24.0
214683,17.0
214688,98.0
214689,93.0
214690,54.0
214693,80.0
214694,91.0
214695,104.0
214696,51.0
214699,77.0
214700,53.0
214701,69.0
214704,67.0
214705,25.0
214706,273.0
214708,14.0
214709,20.0
214710,23.0
214712,90.0
214713,56.0
214714,26.0
214716,20.0
214717,48.0
214718,51.0
214719,24.0
214720,26.0
214721,29.0
214722,102.0
214723,31.0
214724,49.0
214725,31.0
214726,21.0
214727,42.0
214728,55.0
214729,157.0
214730,18.0
214731,28.0
214732,36.0
214733,7.0
214734,14.0
214736,18.0
214737,31.0
214738,30.0
214740,22.0
214741,36.0
214742,27.0
214743,37.0
214745,23.0
214746,66.0
214747,22.0
214748,25.0
214749,27.0
214750,32.0
214751,114.0
214753,22.0
214754,23.0
214755,6.0
214763,23.0
214767,87.0
214768,49.0
214769,31.0
214771,29.0
214772,39.0
214773,57.0
214775,62.0
214776,27.0
214777,43.0
214778,17.0
214780,29.0
214781,21.0
214782,145.0
214785,17.0
214787,9.0
214788,56.0
214789,42.0
214790,11.0
214791,30.0
214792,40.0
214793,18.0
214794,80.0
214795,30.0
214796,31.0
214797,22.0
214798,15.0
214799,35.0
214800,38.0
214801,111.0
214802,18.0
214803,19.0
214804,24.0
214807,13.0
214808,24.0
214809,193.0
214810,129.0
214811,89.0
214813,69.0
214814,85.0
214815,115.0
214818,37.0
214819,136.0
214820,62.0
214821,94.0
214822,38.0
214826,73.0
214827,59.0
214828,396.0
214830,17.0
214831,28.0
214833,17.0
214834,15.0
214836,7.0
214838,10.0
214839,27.0
214841,18.0
214843,66.0
214844,22.0
214845,22.0
214846,21.0
214847,54.0
214848,182.0
214854,107.0
214855,78.0
214856,50.0
214858,51.0
214859,51.0
214860,73.0
214864,81.0
214865,36.0
214866,45.0
214869,44.0
214870,43.0
214872,10.0
214874,21.0
214875,10.0
214877,97.0
214878,77.0
214879,43.0
214880,49.0
214881,52.0
214882,77.0
214884,96.0
214885,38.0
214886,56.0
214887,29.0
214888,17.0
214889,63.0
214890,30.0
214891,210.0
214893,12.0
214894,21.0
214895,7.0
214896,15.0
214899,11.0
214904,40.0
214907,13.0
214908,45.0
214909,131.0
214912,16.0
214914,47.0
214915,26.0
214917,11.0
214918,28.0
214919,60.0
214920,47.0
214921,24.0
214922,24.0
214924,98.0
214925,43.0
214926,64.0
214927,37.0
214928,21.0
214931,51.0
214932,39.0
214933,138.0
214935,30.0
214936,35.0
214940,34.0
214942,8.0
214943,19.0
214944,63.0
214945,34.0
214947,53.0
214948,39.0
214949,54.0
214950,27.0
214951,30.0
214953,9.0
214954,31.0
214955,24.0
214956,166.0
214959,164.0
214960,114.0
214961,29.0
214964,65.0
214965,70.0
214966,117.0
214969,33.0
214970,102.0
214971,41.0
214972,83.0
214973,20.0
214974,9.0
214975,63.0
214976,30.0
214977,230.0
214979,21.0
214980,22.0
214982,10.0
214985,120.0
214986,32.0
214987,7.0
214990,15.0
214991,62.0
214992,24.0
214993,21.0
214994,33.0
214995,21.0
214996,55.0
214997,23.0
214998,31.0
214999,15.0
215000,10.0
215002,45.0
215003,132.0
215004,16.0
215005,18.0
215006,24.0
215008,75.0
215009,68.0
215010,18.0
215011,18.0
215012,40.0
215013,47.0
215014,22.0
215015,23.0
215016,27.0
215017,87.0
215018,25.0
215019,39.0
215020,21.0
215021,14.0
215022,36.0
215023,57.0
215024,181.0
215026,23.0
215027,30.0
215029,13.0
215030,55.0
215031,36.0
215033,21.0
215034,56.0
215035,39.0
215038,50.0
215039,20.0
215040,31.0
215043,25.0
215044,27.0
215048,10.0
215049,9.0
215050,8.0
215051,14.0
215052,84.0
215053,63.0
215054,26.0
215055,21.0
215056,40.0
215057,34.0
215058,21.0
215059,17.0
215060,16.0
215061,44.0
215062,16.0
215063,36.0
215065,12.0
215066,30.0
215067,27.0
215068,182.0
215071,17.0
215072,9.0
215074,16.0
215075,71.0
215076,55.0
215077,25.0
215079,23.0
215080,33.0
215081,50.0
215084,36.0
215085,40.0
215086,24.0
215087,31.0
215088,40.0
215089,21.0
215094,68.0
215095,41.0
215096,28.0
215097,39.0
215098,44.0
215101,44.0
215102,28.0
215103,37.0
215106,35.0
215107,14.0
215111,12.0
215112,74.0
215113,46.0
215114,24.0
215116,30.0
215117,40.0
215118,55.0
215119,84.0
215120,43.0
215121,55.0
215124,39.0
215125,50.0
215126,192.0
215128,11.0
215129,16.0
215130,6.0
215131,20.0
215134,17.0
215135,21.0
215136,15.0
215137,30.0
215142,53.0
215143,25.0
215145,21.0
215146,37.0
215147,137.0
215150,54.0
215151,36.0
215152,10.0
215154,24.0
215156,60.0
215157,17.0
215158,31.0
215159,18.0
215160,12.0
215161,27.0
215162,29.0
215163,84.0
215166,17.0
215167,10.0
215169,50.0
215170,41.0
215171,20.0
215172,9.0
215174,20.0
215175,33.0
215176,38.0
215177,23.0
215179,27.0
215180,82.0
215181,27.0
215182,36.0
215184,9.0
215185,32.0
215186,43.0
215187,144.0
215189,25.0
215190,21.0
215193,18.0
215198,46.0
215199,22.0
215200,32.0
215201,38.0
215202,29.0
215203,56.0
215204,18.0
215205,24.0
215206,21.0
215207,20.0
215211,14.0
215212,22.0
215213,19.0
215214,11.0
215215,12.0
215216,29.0
215217,19.0
215218,25.0
215219,21.0
215220,77.0
215221,22.0
215222,23.0
215223,16.0
215226,41.0
215227,155.0
215230,21.0
215232,39.0
215233,37.0
215236,20.0
215237,34.0
215238,39.0
215239,19.0
215240,16.0
215241,23.0
215242,62.0
215243,31.0
215244,35.0
215245,27.0
215246,18.0
215247,35.0
215248,29.0
215249,185.0
215251,15.0
215252,23.0
215253,19.0
215254,146.0
215255,120.0
215256,46.0
215258,76.0
215259,83.0
215260,96.0
215263,23.0
215264,97.0
215265,58.0
215266,65.0
215269,68.0
215270,33.0
215274,21.0
215278,33.0
215279,31.0
215280,16.0
215282,16.0
215283,39.0
215284,39.0
215287,60.0
215288,22.0
215289,34.0
215290,33.0
215291,22.0
215292,38.0
215293,26.0
215297,16.0
215299,21.0
215300,24.0
215302,9.0
215303,39.0
215304,81.0
215305,32.0
215308,76.0
215309,31.0
215310,30.0
215312,30.0
215313,40.0
215314,224.0
215317,24.0
215320,36.0
215321,34.0
215322,17.0
215324,32.0
215325,61.0
215326,47.0
215327,51.0
215328,52.0
215329,39.0
215330,69.0
215331,36.0
215332,39.0
215333,24.0
215335,40.0
215336,31.0
215337,191.0
215338,16.0
215339,23.0
215340,25.0
215342,69.0
215343,49.0
215346,23.0
215347,34.0
215348,50.0
215350,54.0
215351,26.0
215352,42.0
215355,45.0
215359,13.0
215362,111.0
215363,71.0
215364,28.0
215366,40.0
215367,50.0
215368,61.0
215372,62.0
215373,45.0
215374,50.0
215375,61.0
215376,31.0
215377,243.0
215380,20.0
215382,210.0
215383,133.0
215384,79.0
215387,68.0
215388,74.0
215389,114.0
215391,131.0
215392,63.0
215393,85.0
215394,39.0
215395,25.0
215397,90.0
215398,45.0
215399,361.0
215400,17.0
215401,19.0
215402,44.0
215403,9.0
215404,22.0
215407,204.0
215408,162.0
215409,70.0
215410,16.0
215412,91.0
215413,87.0
215414,130.0
215418,117.0
215419,63.0
215420,82.0
215421,26.0
215422,17.0
215424,90.0
215425,61.0
215426,307.0
215427,11.0
215428,18.0
215429,31.0
215431,14.0
215435,24.0
215436,14.0
215437,11.0
215438,7.0
215439,26.0
215440,56.0
215441,23.0
215444,74.0
215445,27.0
215446,54.0
215447,9.0
215448,28.0
215450,162.0
215453,20.0
215455,29.0
215456,31.0
215458,21.0
215459,43.0
215460,24.0
215463,49.0
215464,22.0
215465,19.0
215468,20.0
215469,41.0
215470,187.0
215472,14.0
215473,20.0
215474,13.0
